1.1.1.28	00620
1.1.1.281	00051
1.1.1.281	00520
1.1.1.282	00400
1.1.1.282	01061
1.1.1.282	01100
1.1.1.282	01110
1.1.1.284	00680
1.1.1.284	01120
1.1.1.288	00906
1.1.1.288	01062
1.1.1.288	01070
1.1.1.288	01100
1.1.1.288	01110
1.1.1.29	00260
1.1.1.29	00630
1.1.1.29	00680
1.1.1.29	01100
1.1.1.29	01120
1.1.1.290	00750
1.1.1.290	01100
1.1.1.291	00760
1.1.1.294	00860
1.1.1.294	01100
1.1.1.294	01110
1.1.1.295	00904
1.1.1.295	01110
1.1.1.296	00903
1.1.1.297	00903
1.1.1.297	01110
1.1.1.298	00720
1.1.1.298	01120
1.1.1.3	00260
1.1.1.3	00270
1.1.1.3	00300
1.1.1.3	01070
1.1.1.3	01100
1.1.1.3	01110
1.1.1.3	01120
1.1.1.30	00072
1.1.1.30	00650
1.1.1.30	01100
1.1.1.302	00740
1.1.1.302	01100
1.1.1.303	00650
1.1.1.304	00650
1.1.1.305	00520
1.1.1.31	00280
1.1.1.31	01100
1.1.1.34	00900
1.1.1.34	01062
1.1.1.34	01066
1.1.1.34	01070
1.1.1.34	01100
1.1.1.34	01110
1.1.1.35	00062
1.1.1.35	00071
1.1.1.35	00120
1.1.1.35	00280
1.1.1.35	00281
1.1.1.35	00310
1.1.1.35	00380
1.1.1.35	00623
1.1.1.35	00650
1.1.1.35	00720
1.1.1.35	00930
1.1.1.35	01070
1.1.1.35	01100
1.1.1.35	01110
1.1.1.35	01120
1.1.1.36	00630
1.1.1.36	00650
1.1.1.36	01120
1.1.1.37	00020
1.1.1.37	00620
1.1.1.37	00630
1.1.1.37	00680
1.1.1.37	00710
1.1.1.37	00720
1.1.1.37	01061
1.1.1.37	01062
1.1.1.37	01063
1.1.1.37	01064
1.1.1.37	01065
1.1.1.37	01066
1.1.1.37	01070
1.1.1.37	01100
1.1.1.37	01110
1.1.1.37	01120
1.1.1.38	00620
1.1.1.38	01061
1.1.1.38	01062
1.1.1.38	01066
1.1.1.39	00620
1.1.1.39	00710
1.1.1.39	01062
1.1.1.39	01063
1.1.1.39	01064
1.1.1.39	01065
1.1.1.39	01066
1.1.1.39	01100
1.1.1.39	01120
1.1.1.4	00650
1.1.1.40	00620
1.1.1.40	00710
1.1.1.40	01062
1.1.1.40	01063
1.1.1.40	01064
1.1.1.40	01065
1.1.1.40	01066
1.1.1.40	01100
1.1.1.40	01120
1.1.1.41	00020
1.1.1.41	01062
1.1.1.41	01063
1.1.1.41	01064
1.1.1.41	01065
1.1.1.41	01066
1.1.1.41	01070
1.1.1.41	01100
1.1.1.41	01110
1.1.1.41	01120
1.1.1.42	00020
1.1.1.42	00480
1.1.1.42	00720
1.1.1.42	01061
1.1.1.42	01062
1.1.1.42	01063
1.1.1.42	01064
1.1.1.42	01065
1.1.1.42	01066
1.1.1.42	01070
1.1.1.42	01100
1.1.1.42	01110
1.1.1.42	01120
1.1.1.43	00030
1.1.1.43	00480
1.1.1.43	01100
1.1.1.43	01120
1.1.1.44	00030
1.1.1.44	00480
1.1.1.44	01065
1.1.1.44	01070
1.1.1.44	01100
1.1.1.44	01110
1.1.1.44	01120
1.1.1.45	00040
1.1.1.45	01100
1.1.1.46	00053
1.1.1.46	01100
1.1.1.47	00030
1.1.1.47	01120
1.1.1.48	00052
1.1.1.49	00030
1.1.1.49	00480
1.1.1.49	01065
1.1.1.49	01070
1.1.1.49	01100
1.1.1.49	01110
1.1.1.49	01120
1.1.1.50	00120
1.1.1.50	00140
1.1.1.50	01100
1.1.1.51	00140
1.1.1.51	01100
1.1.1.53	00140
1.1.1.53	01100
1.1.1.56	00040
1.1.1.56	01100
1.1.1.57	00040
1.1.1.57	01100
1.1.1.58	00040
1.1.1.58	01100
1.1.1.59	00410
1.1.1.59	00640
1.1.1.59	01100
1.1.1.6	00561
1.1.1.6	01100
1.1.1.60	00630
1.1.1.60	01100
1.1.1.61	00650
1.1.1.62	00140
1.1.1.62	01100
1.1.1.63	00140
1.1.1.63	01100
1.1.1.64	00140
1.1.1.64	01100
1.1.1.65	00750
1.1.1.65	01100
1.1.1.67	00051
1.1.1.72	00561
1.1.1.75	00260
1.1.1.76	00650
1.1.1.77	00620
1.1.1.77	00630
1.1.1.77	01120
1.1.1.78	00620
1.1.1.79	00620
1.1.1.79	00630
1.1.1.79	01100
1.1.1.79	01120
1.1.1.8	00564
1.1.1.80	00640
1.1.1.81	00260
1.1.1.81	00630
1.1.1.81	01100
1.1.1.82	00620
1.1.1.82	00710
1.1.1.82	01100
1.1.1.82	01120
1.1.1.83	00650
1.1.1.84	00770
1.1.1.85	00290
1.1.1.85	01065
1.1.1.85	01100
1.1.1.85	01110
1.1.1.86	00290
